epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
165,1107.91,0.87573,0.60174,1.05094,0.77403,0.5565,0.65704,0.3365,1.6721,1.36279,1.73726,0.0005735,0.0005735,0.0005735
166,1114.87,0.91414,0.63141,1.05387,0.68233,0.58843,0.62833,0.32804,1.67788,1.3935,1.72991,0.000569375,0.000569375,0.000569375
167,1121.61,0.86612,0.63123,1.05325,0.72144,0.58723,0.64779,0.34856,1.64703,1.37649,1.71253,0.00056525,0.00056525,0.00056525
168,1128.36,0.85411,0.58137,1.0389,0.78775,0.57122,0.6766,0.3599,1.64824,1.3461,1.69182,0.000561125,0.000561125,0.000561125
169,1135.32,0.86926,0.63273,1.03694,0.81892,0.56248,0.66304,0.35774,1.65901,1.44649,1.68491,0.000557,0.000557,0.000557
170,1141.95,0.8412,0.59209,1.03534,0.77433,0.59122,0.6814,0.35101,1.69729,1.32914,1.74146,0.000552875,0.000552875,0.000552875
171,1148.68,0.88674,0.59897,1.03357,0.67786,0.63747,0.66829,0.35053,1.64154,1.3525,1.69165,0.00054875,0.00054875,0.00054875
172,1155.38,0.83823,0.5884,1.02401,0.73732,0.55479,0.63472,0.34457,1.67605,1.41942,1.73064,0.000544625,0.000544625,0.000544625
173,1162.05,0.8315,0.59218,1.02355,0.6995,0.62191,0.65231,0.33967,1.69245,1.32445,1.75813,0.0005405,0.0005405,0.0005405
174,1168.69,0.83236,0.58045,1.01893,0.71192,0.61243,0.66463,0.34789,1.73003,1.44566,1.81372,0.000536375,0.000536375,0.000536375
175,1175.43,0.8541,0.59147,1.03741,0.70879,0.61878,0.66066,0.32825,1.74963,1.48388,1.81828,0.00053225,0.00053225,0.00053225
176,1182.18,0.82092,0.56781,1.02687,0.74481,0.58784,0.6618,0.33377,1.74339,1.43843,1.79192,0.000528125,0.000528125,0.000528125
177,1188.86,0.82883,0.57864,1.02436,0.63892,0.63042,0.65908,0.34288,1.72401,1.462,1.78201,0.000524,0.000524,0.000524
178,1195.63,0.83955,0.58599,1.02048,0.67841,0.59242,0.66337,0.34997,1.70193,1.49982,1.74811,0.000519875,0.000519875,0.000519875
